Precio,Terreno,Construccion,Recas,Banhos,Estacionamientos,Medios Banhos,Antiguedad,Ubicacion,Colonia,Delegacion,Indice
14.36,150,150,3,2,1,-6,-7,"Bosques de Tarango, Alvaro Obregón",Bosques de Tarango, Alvaro Obregón,1
1.49,118,80,3,1,2,0,30,"1° de Mayo, Venustiano Carranza",1° de Mayo, Venustiano Carranza,2
2.91,133,130,3,1,1,0,40,"1° de Mayo, Venustiano Carranza",1° de Mayo, Venustiano Carranza,3
1.49,118,150,3,2,2,0,1,"1° de Mayo, Venustiano Carranza",1° de Mayo, Venustiano Carranza,4
4.5,160,225,3,2,3,1,0,"15 de Agosto, Gustavo A. Madero",15 de Agosto, Gustavo A. Madero,5
3.1,190,190,4,4,2,1,25,"15 de Agosto, Gustavo A. Madero",15 de Agosto, Gustavo A. Madero,6
1.17,105,125,3,2,1,1,0,"19 de Mayo, Alvaro Obregón",19 de Mayo, Alvaro Obregón,7
1.53,122,150,2,2,2,1,0,"19 de Mayo, Alvaro Obregón",19 de Mayo, Alvaro Obregón,8
1.73,158,140,3,0,2,0,0,"1a Victoria, Alvaro Obregón",1a Victoria, Alvaro Obregón,9
2.28,148,148,3,2,2,1,0,"20 de Agosto, Coyoacán",20 de Agosto, Coyoacán,10
1.48,100,100,3,2,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,11
0.59,70,70,3,1,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,12
4.25,147,294,2,1,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,13
2.06,123,259,3,3,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,14
2.06,146,180,3,2,1,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,15
2,142,142,2,1,2,-6,50,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,16
2.06,270,270,5,2,2,0,20,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,17
3.5,150,251,6,2,2,-6,40,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,18
2.95,146,250,5,5,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,19
2.52,200,200,4,2,-5,-6,-7,"25 de Julio, Gustavo A. Madero",25 de Julio, Gustavo A. Madero,20
4.5,160,225,3,2,3,1,0,"25 de Julio, Gustavo A. Madero",25 de Julio, Gustavo A. Madero,21
0.35,150,315,3,1,-5,-6,-7,"25 de Julio, Gustavo A. Madero",25 de Julio, Gustavo A. Madero,22
3.19,120,185,3,1,2,1,28,"2o Reacomodo Tlacuitlapa, Alvaro Obregón",2o Reacomodo Tlacuitlapa, Alvaro Obregón,23
9.98,210,429,-3,4,-5,-6,-7,"4 Arboles, Venustiano Carranza",4 Arboles, Venustiano Carranza,24
4.9,208,-2,7,5,3,0,20,"5 de Mayo, Miguel Hidalgo",5 de Mayo, Miguel Hidalgo,25
2.47,118,150,3,2,2,-6,-7,"7 de Julio, Venustiano Carranza",7 de Julio, Venustiano Carranza,26
4.25,119,212,7,3,1,1,35,"7 de Julio, Venustiano Carranza",7 de Julio, Venustiano Carranza,27
